a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source	
2491	-0.791	Günde iki antrenmanın olmamasının karşılığı daha çok günde bir antrenman; Bruins, kampın başlamasını geçen sezona göre bir haftaya yakın ileri alıyor ve yaz okulu sırasında Mora'nın Westwood'daki altı sezonu boyunca ilk kez yaz okulunda antrenman yapıyor.	The trade-off from no two-a-days is more one-a-days, the Bruins pushing up the start of camp nearly a week from last season and holding practices during summer school for the first time during Mora's six seasons in Westwood.	In return for not having two trainings a day, Bruins takes the start of the camp closer to one week compared to last season, and for the first time during Mora's six seasons in Westwood during summer school, he is training at the summer school.	0			
2456	-0.781	Fakat "sosyal medya kendine geldikten" sonra firmalar kirli çamaşırlarının viral olmasını engelleyemeceklerini fark ettiler.	But it wasn't until "social media came into its own" that companies realized they couldn't stop their dirty laundry from going viral online.	But after "social media came to its senses," companies realized that they could not prevent their dirty Laundry from becoming viral.	0	temporal		
2562	-0.778	Aramızda bulunuyorken partimizin lehine hiçbir hayırlı çalışma ve gayret göstermeyenlerin, şimdilerde istifa etmeleri nezdimizde hiçbir anlam ifade etmez.	It is of no importance to us if those who never contributed positively to our party when they were with us are now resigning.	While we are among us, those who do not do any good work and effort in favor of our party do not mean anything in our favor to resign now.	0			
1898	-0.747	İki tane bireysel emeklilik hesabını istemiyorsunuz.	Probable you would not want two private pension schemes.	You don't want two individual retirement accounts.	0			
108	-0.739	Sizin bahsettiğiniz şiir daha sonra eklenmiştir ve orijinal Özgürlük Heykeli'nin parçası değildir."	The poem that you're referring to, that was added later and is not part of the original Statue of Liberty."	The poem you mentioned was later added and is not part of the original Statue of Liberty."	0			
2409	-0.737	Galatasaray Başkanı eli boş dönmez	Galatasaray’s President will not return empty handed	Galatasaray President does not return empty handed	0			
764	-0.726	Herkes bunu doğru yapmaya adanmış durumda, sadece oyunun hatrı için değil fakat aynı zamanda öldürülen dört kişinin anısı için.	Everyone is dedicated to getting this right, not only for the sake of the play, but also for the memory of the four people killed.	Everyone is dedicated to doing it right, not only for the sake of the game, but also for the memory of the four killed.	0			
2255	-0.72	"Şu anda Ferguson'a gidiyoruz çünkü polis 18 yaşında bir çocuğu öldürdü ve bu doğru değildi.	"We're going to Ferguson right now because the police killed an 18-year-old boy and it wasn't right.	"We're going to Ferguson right now because the police killed a 18-year-old boy and that was not true.	0			
2472	-0.72	Ve beklenti yeterince hızlı gelmezse ya da hiç gelmezse, hayal kırıklığı doğurabiliyor ve çalışanları kopmuş gibi hissettirebiliyor.	And if change doesn't come fast enough, or at all, it can breed disappointment and make employees disengaged.	And if anticipation doesn't come fast enough or never comes at all, it can be disappointing and make your employees feel like they're broken.	0			
278	-0.719	Sünnilik değil Vehhabilik	This is not the Sunni idea, it’s Wahabism	It's not Sunnis.	0			
1490	-0.717	Sen Sen'den isteyeni geri çevirmezsin.	Never refuse one who asks from You.	You don't turn down anyone who asks you.	0			
1489	-0.711	Sen ümit edeni ümitsizliğe düşürmezsin.	Never let any hope-seeking lead you to despair.	You don't despair the one who hopes.	0			
84	-0.705	"Bizim ilerlememizi istemiyor". görüşünü savundu.	He argued "It does not want us to progress".	"He doesn't want us to move forward." he defended his view.	0			
875	-0.704	Yıl başından bu yana gösterdiği performansla aralarında Almanya, ABD, İngiltere, Japonya'nın da bulunduğu dünyanın başlıca borsalarını geride bırakan BIST 100 endeksi, temmuz ayında da getiri bazında liderliği bırakmadı.	With its performance from the beginning of the year, leaving behind the world’s leading stock exchange markets such as Germany, the US, the UK and Japan, the BIST 100 Index didn’t lose its leader status in July.	The BIST 100 index, which has left behind the major markets in the world, including Germany, USA, UK and Japan with its performance since the beginning of the year, did not leave the leadership in return for return in July.	0			
89	-0.678	Ancak Haşdi Şabi'nin anayasada bir varlığı yokken, yasalar çiğnenerek tüm imkanlar seferber edildi.	However, while Hashd Al-Shaabi has no existence in the constitution, by violating the law all means were made available to them.	However, while the Hadjabi had no existence in the Constitution, all possibilities were mobilized by breaking the laws.	0			
2304	-0.669	Çünkü, ne kadar çok bilgiyi çözersen, bir o kadar bilgi daha çıkıyor.	Because no matter how much you learn, there’s always more information.	Because the more information you solve, the more information you get.	0			
2164	-0.664	"Zaten boynumdan aşağısı felç, bu hizmet sayesinde hiç değilse diş bakımımı ihmal etmiyorum" dedi.	"My body is paralysed from my neck down and, because of this service, at least I don’t neglect my dental care".	"I'm not neglecting my dental care at all because of this service," he said.	0	but missing really crucial information		
300	-0.657	- Mezhep ayrılığını körüklemeyen...	- Not fueling differences between schools of thought...	- That's not fueling sectarian separation...	0			
2570	-0.645	"Tasmalı hainler deliye dönüp nifak yangında kül olacaklardır" ifadesini kullanan MHP'li Büyükataman, açıklamasında muhalefet partileri ve terör örgütlerini bir arada sıralayarak, şu iddialarda bulundu: "CHP'sinden HDP'sine; oradan Perinçekgillere, PKK'sından FETÖ"süne kadar kim ne yaparsa yapsın, Türk milletinin kendi kaderine sahip çıkma hakkına operasyon yapamayacaklardır."	Saying that "traitors on a leash will go mad and burn to ashes in the fire of factionalism", the MHP’s Buyukataman grouped all the opposition parties and terror groups together, claiming that "From the CHP to the HDP to the Perincek group, from the PKK to FETO, whoever does whatever deed, the Turkish nation’s determination to define its own destiny will never be plotted against."	In his statement, the MHP Büyükataman, who stated that "traitors with Leashes will go mad and become ash in the nifaq fire", said: "no matter who does what they do from CHP to the HDP, from the PKK to the PKK to the fato, they will not be able to operate the right of the Turkish nation to ascend to its own fate."	1			
1949	-0.627	Eski müdür Zaccheo Giovanni Pamio, bir İtalyan ve bu nedenle suçlu iadesine karşı korunmuyor ve Amerika Birleşik Devletleri'nde yargılanabilir.	The former manager, Zaccheo Giovanni Pamio, is Italian, and therefore is not protected from extradition and could face trial in the United States.	Former Director Zaccheo Giovanni pamio, an Italian and therefore not protected from extradition, may be prosecuted in the United States.	0			
2882	-0.596	Çarşamba günkü beyanatında "Kadınların rolü abartılamaz." dedi.	"The role of women cannot be overstated," he said in a statement Wednesday.	"Women's role cannot be overrated." quoth.	0			
718	-0.593	Yeniden canlandırmayı organize etmeye yardımcı olan Tyrone Brooks şöyle dedi: "Toplumlarımızda onları görsek de, kim olduklarını bilsek de bütün bu yıllar boyunca tek bir kişinin tutuklanmamış olmasını akıl almıyor."	"It's mind boggling that all of these years, not a single person has been arrested - even though we see them in our communities; even though we know who they are," said Tyrone Brooks, who helps organize the reenactment.	Tyrone Brooks, who helped organize the reconstruction, said: "it is inconceivable that one person has not been arrested all these years, whether we see them in our societies or we know who they are."	0			
779	-0.592	Küçük bir çocuk sanki kendine hatırlatırmış gibi "Gerçekte ölmemişler." diye mırıldanıyor.	"They're not really dead," one little boy mutters, as if to remind himself.	"They didn't really die."he croons.	0			
893	-0.586	Ümüt, ABD'de enflasyonun henüz istenilen düzeyde olmadığını, Fed'in faiz artırımı konusunda aceleci davranmayacağı ve radikal hamlelerden kaçınacağı beklentilerinin de mevcut fiyatlamalarda oldukça etkili olduğunu ifade etti.	Ümüt commented that inflation in the US was not at the desired levels, and he expected that the FED would not be rushing for an interest rate increase, avoiding radical moves’ effects on the current pricing.	Umut stated that inflation in the USA is not at the desired level yet, the expectations of the Fed will not be hasty about the interest rate increase and will avoid radical moves are also very effective in the current pricing.	0			
2414	-0.578	Ndiaye transferi: Galatasaray Başkanı futbolcuya gitmez.	On the Ndiaye transfer: The president of Galatasaray does not go to a football player.	Ndiaye transfer: Galatasaray President does not go to the footballer.	0			
